ms,CN0_dBHz
100,39.5592501619464
200,40.8279373579222
300,41.6899571112744
400,42.2367271039716
500,42.3978712504077
600,42.4723385121816
700,42.6005990767167
800,42.6453881635148
900,42.7453827522484
1000,42.7989266760819
1100,42.8360820517082
1200,42.8342698225511
1300,42.8794294645524
1400,42.8861378332989
1500,42.8917793602302
1600,42.8102117577908
1700,42.7138279440084
1800,42.6833867364787
1900,42.6921293220303
2000,42.6369981260286
2100,42.827099730315
2200,42.8112794917661
2300,42.7840781237496
2400,42.7384557947053
2500,42.7722565318626
2600,42.7852180960535
2700,42.7700465536248
2800,42.7643320967177
2900,42.6630678001651
3000,42.620954107832
3100,42.6426195938287
3200,42.5736183210547
3300,42.5148461920185
3400,42.4746870858887
3500,42.4572641415054
3600,42.4918646451788
3700,42.5633769122711
3800,42.5846637498962
3900,42.5756138797078
4000,42.6494809766577
4100,42.6858556242195
4200,42.7513628333668
4300,42.6955779018599
4400,42.6760091105509
4500,42.6633080262646
4600,42.6448019972933
4700,42.6829323043999
4800,42.7298526735511
4900,42.8111617794072
5000,42.8830800303212
5100,42.8271045376516
5200,42.9333741584058
5300,43.0112683353128
5400,43.0692507454654
5500,43.0824716398836
5600,43.1421962604529
5700,43.1707400067299
5800,43.2356021556625
5900,43.279614731327
6000,43.2951947815149
6100,43.3191298000124
6200,43.2614646556386
6300,43.3553253900573
6400,43.4023782931667
6500,43.4127251432957
6600,43.3867518016037
6700,43.3758421936811
6800,43.358222326163
6900,43.3641883774695
7000,43.3038923716185
7100,43.3610240716982
7200,43.3196239522243
7300,43.2384277394959
7400,43.2363559272783
7500,43.276389963086
7600,43.260345338468
7700,43.2190867241079
7800,43.2040426143302
7900,43.1868374629517
8000,43.1911826860946
8100,43.2478635913968
8200,43.3349049670645
8300,43.3084510434996
8400,43.2781958372487
8500,43.2862908319183
8600,43.3184370288883
8700,43.3092239631328
8800,43.358938245897
8900,43.4297474447346
9000,43.5062175858509
9100,43.5189639471565
9200,43.6157025089875
9300,43.6427332312637
9400,43.6197473350615
9500,43.5961858033897
9600,43.5693666262249
9700,43.6077168232077
9800,43.6015212624383
9900,43.6111151686868
10000,43.6440158100202
10100,43.6267383324768
10200,43.6083555756171
10300,43.5987521468013
10400,43.6237062359883
10500,43.6196452248286
10600,43.6189905370444
10700,43.6268221881102
10800,43.5220011808613
10900,43.4327810337337
11000,43.3988809283979
11100,43.3610926054009
11200,43.2831219021687
11300,43.1947093711004
11400,43.1621407498242
11500,43.1505234154105
11600,43.1373479685744
11700,43.0850733567544
11800,43.057695245644
11900,43.0436549745454
12000,43.0117085215575
12100,42.9447764491885
12200,42.9086123970936
12300,42.9048842746129
12400,42.8710324038413
12500,42.8573098143955
12600,42.8115674257289
12700,42.7920790453565
12800,42.8263325604651
12900,42.8796360152294
13000,42.8941687125818
13100,42.9095351725407
13200,42.9683519566317
13300,43.100308264524
13400,43.166044807276
13500,43.1847119327215
13600,43.2089015968509
13700,43.2594451339762
13800,43.2974491966358
13900,43.2807016002367
14000,43.2613803162315
14100,43.3007894732777
14200,43.3205748089544
14300,43.3276668212435
14400,43.3331393352622
14500,43.333248229651
14600,43.4025783981122
14700,43.4163594613901
14800,43.4392987167033
14900,43.4281564503604
15000,43.4542623817213
15100,43.4507357836936
15200,43.3957313324344
15300,43.4073134809724
15400,43.411854536184
15500,43.3839424373536
15600,43.3713187294848
15700,43.2878094532272
15800,43.2381740037079
15900,43.1895061033761
16000,43.1682428431129
16100,43.1491783239583
16200,43.0644089214315
16300,43.0439101010377
16400,43.0418180441202
16500,43.0342075331847
16600,43.0426947164247
16700,43.0309770397634
16800,42.972329341317
16900,42.8994367324906
17000,42.8693477802864
17100,42.8594991992208
17200,42.8249481207582
17300,42.7768436283021
17400,42.7360812421336
17500,42.735720240082
17600,42.7269495143049
17700,42.7948576751545
17800,42.8155643688402
17900,42.8469097956175
18000,42.8306306566996
18100,42.8281726604872
18200,42.9073527629551
18300,42.9250222566026
18400,42.8806985269863
18500,42.8348206726591
18600,42.8287979622339
18700,42.8725312481279
18800,42.9052756512887
18900,42.9251028044343
19000,42.8955001622517
19100,42.8298588261965
19200,42.8974763096673
19300,42.9244124043146
19400,42.9037764362065
19500,42.8989527437775
19600,42.9195039251997
19700,42.8938590681748
19800,42.9120303804754
19900,42.9086389455057
20000,42.9070257189711
20100,42.8927640289553
20200,42.9195980569811
20300,42.9057593418861
20400,42.9728955077947
20500,42.9916538605954
20600,43.0241326003404
20700,42.9705174331625
20800,42.9388827788542
20900,42.9622127971604
21000,43.0182199884453
21100,43.0583595444434
21200,43.0240196088289
21300,43.0364795787018
21400,43.0262742792491
21500,43.0221225478997
21600,42.9986420774256
21700,42.9481685692777
21800,42.8907912573655
21900,42.8895595309343
22000,42.9019382168803
22100,42.8534347030786
22200,42.7491506507125
22300,42.7513865943736
22400,42.7545398425005
22500,42.7671598646076
22600,42.7560404998446
22700,42.7691044296947
22800,42.8176354911363
22900,42.845702395709
23000,42.8598702938612
23100,42.8976151229073
23200,42.9110477488147
23300,42.8410665881474
23400,42.9039608455415
23500,42.9676168863217
23600,43.003251370902
23700,43.1106430729872
23800,43.1560334049922
23900,43.1964041099487
24000,43.2254498275608
24100,43.3183471778133
24200,43.4516282839806
24300,43.5063864891231
24400,43.5484453623669
24500,43.6061965012372
24600,43.6370334575389
24700,43.6356242887595
24800,43.6384071165806
24900,43.6648700482551
25000,43.5825077035069
25100,43.5192107035829
25200,43.5128037775273
25300,43.6024364599208
25400,43.5888505243554
25500,43.5720672801315
25600,43.5930538370115
25700,43.5172939602361
25800,43.4984533674914
25900,43.5084210102283
26000,43.5637732676032
26100,43.5288336108234
26200,43.4607713811754
26300,43.4001573169485
26400,43.3392751023834
26500,43.3289750403091
26600,43.3203173682289
26700,43.3554920105047
26800,43.3341792527774
26900,43.3561713135387
27000,43.3939928670484
27100,43.3761761502775
27200,43.3443720611015
27300,43.2777202445137
27400,43.3061663679957
27500,43.30147292297
27600,43.2656416075307
27700,43.3232018431773
27800,43.3742055816051
27900,43.3681286922147
28000,43.3332420007435
28100,43.3747092482444
28200,43.4409092096433
28300,43.4649634613614
28400,43.4911527783696
28500,43.4934959076952
28600,43.4843965440863
28700,43.4487807462145
28800,43.4757860379095
28900,43.4367049417074
29000,43.4636786735624
29100,43.5552527146459
29200,43.5837925384378
29300,43.6967432722796
29400,43.6486111190478
29500,43.6250727385815
29600,43.6374311610898
29700,43.6082618967948
29800,43.5554045913083
29900,43.5409513747273
30000,43.5402668609659
