ms,CN0_dBHz
100,35.2875722747229
200,37.7845475050421
300,38.7730227466718
400,39.0480825314016
500,39.4235139681221
600,39.7522694284878
700,39.9039450206502
800,40.1628953475619
900,40.3363485990172
1000,40.3996542904199
1100,40.5729228871628
1200,40.6491224384497
1300,40.7127104699809
1400,40.8207411742248
1500,40.9486097455024
1600,41.0622336580475
1700,41.1593929456256
1800,41.3002186394943
1900,41.3293759870022
2000,41.3440668665671
2100,42.045662590194
2200,42.0602718379048
2300,42.0704634784353
2400,42.1130074393413
2500,42.1659856182004
2600,42.1746334301013
2700,42.185636298692
2800,42.1604644742889
2900,42.1377510472301
3000,42.163057976793
3100,42.1904204252695
3200,42.2744007753994
3300,42.3307747775048
3400,42.3199125627723
3500,42.255914540587
3600,42.1637839345418
3700,42.1161280450515
3800,42.0527597111607
3900,42.0214498405336
4000,41.9972092776071
4100,41.9429300616642
4200,41.9716639007412
4300,41.9809538129129
4400,42.0150086497912
4500,42.0365242978432
4600,42.0081443662832
4700,41.9601372655667
4800,41.9552000294331
4900,41.9855047159902
5000,42.0587044703868
5100,41.9665009385332
5200,41.8791369252808
5300,41.8281678140232
5400,41.8566082196832
5500,41.8587282698476
5600,41.9128347427763
5700,41.961597274541
5800,41.9325004436432
5900,41.9836600218538
6000,42.0064500251604
6100,41.9643884187134
6200,41.9311273422289
6300,41.9438465149523
6400,41.964814106486
6500,41.8349606524097
6600,41.8904386701603
6700,41.9831616234829
6800,42.0255943761677
6900,42.025261722514
7000,42.0432742879667
7100,42.2232017525087
7200,42.2968783722545
7300,42.4223236667414
7400,42.473177503407
7500,42.4136571042251
7600,42.4079351294866
7700,42.3961534644821
7800,42.3349742227218
7900,42.3138170786069
8000,42.2766628115473
8100,42.2708634401022
8200,42.2737701320441
8300,42.3323449887853
8400,42.3360479345099
8500,42.4286211823501
8600,42.4496978980985
8700,42.5016643411632
8800,42.4525196581972
8900,42.5279792332925
9000,42.4461818530001
9100,42.3710364843018
9200,42.4413522768066
9300,42.4020515199801
9400,42.3217948428547
9500,42.3899201699321
9600,42.3472156718324
9700,42.3485925718181
9800,42.3881368054255
9900,42.4037433567173
10000,42.3749398876573
10100,42.3569217328706
10200,42.3653220039294
10300,42.305968579202
10400,42.2398145870726
10500,42.2414578242377
10600,42.278807737179
10700,42.2766046294471
10800,42.344674708348
10900,42.2927922583101
11000,42.346621083753
11100,42.2735072130034
11200,42.1851564596489
11300,42.1499887910192
11400,42.1126402699507
11500,42.1671242278661
11600,42.207176663349
11700,42.2224031672233
11800,42.2715880849538
11900,42.3094264349388
12000,42.530522373949
12100,42.6332185630883
12200,42.6508595587466
12300,42.7160245058529
12400,42.7766106332772
12500,42.793824828916
12600,42.7244593536318
12700,42.7509150930525
12800,42.8068489842137
12900,42.7909602411032
13000,42.7970236385832
13100,42.7677880932548
13200,42.8008416412314
13300,42.8584724953707
13400,42.9902573045238
13500,42.9861807101506
13600,43.0697321892768
13700,43.1254889718196
13800,43.179636260184
13900,43.2504348237017
14000,43.2001296240958
14100,43.2620597096466
14200,43.3332159014969
14300,43.2317940482917
14400,43.2482537817768
14500,43.2427319336904
14600,43.3203359090666
14700,43.310520197441
14800,43.2904245659044
14900,43.3369902501511
15000,43.3430838141307
15100,43.439365281196
15200,43.4667000213396
15300,43.4439248209442
15400,43.2480840556953
15500,43.2509585114961
15600,43.2060452042584
15700,43.151030600723
15800,43.1266006930581
15900,43.0670317185277
16000,42.9740449187889
16100,42.871793065008
16200,42.7939675851106
16300,42.8390928330211
16400,42.8168325579834
16500,42.7930982074834
16600,42.698631820493
16700,42.5873589268667
16800,42.51791372547
16900,42.4429719851763
17000,42.3891661988241
17100,42.3223155445709
17200,42.2283925198344
17300,42.159404364655
17400,42.1850385690076
17500,42.152201222082
17600,42.1101466920126
17700,42.1227430907807
17800,42.1099929928046
17900,42.0599100459361
18000,42.1064742464188
18100,42.2027412773281
18200,42.1905379651142
18300,42.2266949014493
18400,42.2492499320711
18500,42.2778503415656
18600,42.3718670650984
18700,42.4601674060194
18800,42.5355522575388
18900,42.6358733733489
19000,42.6796958236047
19100,42.8193345235278
19200,42.9736384028963
19300,42.9789402795551
19400,43.1221897975872
19500,43.2301306618458
19600,43.3388966781024
19700,43.348028154902
19800,43.3350013323697
19900,43.4033515274265
20000,43.4532060735239
20100,43.4001710880973
20200,43.4278410759311
20300,43.3378356789434
20400,43.2789502001186
20500,43.1567476366471
20600,43.0779240203992
20700,43.0857815620833
20800,42.9616868676028
20900,42.9033095598116
21000,42.8848012259048
21100,42.9126908327788
21200,42.9370110218071
21300,43.0428110325442
21400,43.0342307749728
21500,42.9216345846549
21600,42.8970058694296
21700,42.8456190067464
21800,42.8472014460266
21900,42.850744392446
22000,42.772046941805
22100,42.7050407996192
22200,42.6663413807712
22300,42.715895430794
22400,42.7550087755545
22500,42.8014392134755
22600,42.7816301682492
22700,42.7649534731636
22800,42.88285649395
22900,42.9131674955778
23000,42.8442200303119
23100,42.8111782141596
23200,42.6742138940587
23300,42.6514951188113
23400,42.5993162806488
23500,42.7383180797914
23600,42.7672771172233
23700,42.8040202586131
23800,42.8171987396028
23900,42.7987239417666
24000,42.8314726760705
24100,42.8753056658547
24200,42.9336885995679
24300,42.8870395768586
24400,42.9310692521062
24500,43.0651939080088
24600,43.1403410875629
24700,43.161824853912
24800,43.1407104193896
24900,43.1965321561162
25000,43.2931542200153
25100,43.2563357980979
25200,43.3215904108126
25300,43.3146587459759
25400,43.3303763327218
25500,43.2552153388137
25600,43.2273513185273
25700,43.1881811573023
25800,43.1657138504628
25900,43.1541020270704
26000,43.1454026280704
26100,43.1148529314461
26200,43.0687160553494
26300,43.126652742963
26400,43.0017249877401
26500,42.9393175670518
26600,42.8994130131079
26700,42.8998822928883
26800,42.833759173112
26900,42.76491601803
27000,42.8228627399578
27100,42.7825246255042
27200,42.7542163475853
27300,42.6878062371496
27400,42.674066193811
27500,42.6395636253406
27600,42.6515678040709
27700,42.7216067578109
27800,42.7850230301331
27900,42.8140307178459
28000,42.8349079353396
28100,42.8614779978033
28200,42.8729885226069
28300,42.8675654805413
28400,42.8570303548603
28500,42.8973377601831
28600,42.9317388808343
28700,42.9448565798845
28800,43.0416639348323
28900,43.1397181609198
29000,43.1004100200666
29100,43.0797392004156
29200,43.0766903060371
29300,43.1250927999333
29400,43.1304311301289
29500,43.1554839147533
29600,43.0902415486431
29700,43.0492172502977
29800,43.0165281673053
29900,42.9707280836424
30000,42.8870260903575
30100,42.800218156705
30200,42.751109922142
30300,42.7554700483039
30400,42.7943352701201
30500,42.6507978059828
30600,42.6370964155901
30700,42.6401431910381
30800,42.5642902714433
30900,42.4344132665962
31000,42.4318161834926
31100,42.4396582118401
31200,42.4800351014068
31300,42.4498148279543
31400,42.3568355795766
31500,42.3672704556151
31600,42.3824565105581
31700,42.3868116560296
31800,42.4224276080264
31900,42.4572268672953
32000,42.556923525823
32100,42.6912681092411
32200,42.7037077959893
32300,42.690945961008
32400,42.7358038617254
32500,42.8938725369512
32600,42.9387970214939
32700,42.8194335143098
32800,42.8696714078124
32900,42.9363138948989
33000,42.9513523768109
33100,42.9973060590635
33200,42.9894079599036
33300,43.0196020246465
33400,43.0843878269343
33500,43.0487872519405
33600,43.0083744671485
33700,42.9968728296828
33800,42.9796823565439
33900,42.9594023268692
34000,42.9042621594267
34100,42.8854401818353
34200,42.9587233797316
34300,42.9496850174287
34400,42.9466745572598
34500,42.9103040768274
34600,42.8662579062301
34700,42.8900788455256
34800,42.8531330468896
34900,42.8223276000365
35000,42.7143428699331
35100,42.6513707750137
35200,42.6430339545608
35300,42.5602917129523
35400,42.5959474459339
35500,42.5071142412995
35600,42.5507500158315
35700,42.4352811469489
35800,42.3371907991768
35900,42.3632476289686
36000,42.3586224331606
36100,42.3689017978078
36200,42.2858225428575
36300,42.2258866257775
36400,42.2146681026153
36500,42.194493015689
36600,42.192505177194
36700,42.2893117434771
36800,42.2535755806969
36900,42.2538604262025
37000,42.3079489660041
37100,42.3178174017049
37200,42.2488293278153
37300,42.3142867476958
37400,42.2477967054199
37500,42.3212268442673
37600,42.3122404652519
37700,42.4132922750176
37800,42.4039385531923
37900,42.2939497778857
38000,42.313436303515
38100,42.2753741420374
38200,42.2911488360938
38300,42.3741953165229
38400,42.3736602289463
38500,42.3908700007517
38600,42.4229730447999
38700,42.3902814350741
38800,42.3949960225632
38900,42.3890132284691
39000,42.3964141002357
39100,42.3994198462735
39200,42.4631555067892
39300,42.4625241615352
39400,42.4964569160505
39500,42.4397973539901
39600,42.4493253754543
39700,42.4699810954923
39800,42.5564741240045
39900,42.5553966475599
40000,42.5965943427138
40100,42.6085349029007
40200,42.610263282334
40300,42.5569015763432
40400,42.5613561737872
40500,42.5596199828617
40600,42.4675378451623
40700,42.4845040218961
40800,42.5330396453202
40900,42.4940107832086
41000,42.3952423987991
41100,42.3486114344697
41200,42.35726520634
41300,42.3519432295127
41400,42.3535328005055
41500,42.4044656384954
41600,42.4189744956087
41700,42.3742855557625
41800,42.3664704229588
41900,42.4163208251065
42000,42.3604630564862
42100,42.3158727432652
42200,42.3269210683648
42300,42.3543384048211
42400,42.3685347562958
42500,42.2722932636306
42600,42.3228075334411
42700,42.2954111816975
42800,42.3026408183432
42900,42.4026032599666
43000,42.4864486875878
43100,42.5999340007037
43200,42.5500711794482
43300,42.5983525418775
43400,42.6888818904988
43500,42.7107609154647
43600,42.617287176784
43700,42.640411110678
43800,42.6305087733424
43900,42.609244144136
44000,42.600200119889
44100,42.6532874066791
44200,42.67885115118
44300,42.6821979614752
44400,42.6339791544384
44500,42.6886140011651
44600,42.6703612509579
44700,42.7367246305958
44800,42.7439718550676
44900,42.7012253911867
45000,42.7180975709323
45100,42.6637952479181
45200,42.7006194130883
45300,42.6626843069371
45400,42.6311174656551
45500,42.6411536808954
45600,42.7529128816386
45700,42.8037786980684
45800,42.7799846320324
45900,42.7883938575386
46000,42.8220481631926
46100,42.7890077412242
46200,42.8223995990266
46300,42.7950711606687
46400,42.7955998833543
46500,42.8220317101171
46600,42.8592573965031
46700,42.8194756673706
46800,42.7708917737214
46900,42.7971149982195
47000,42.7995123228458
47100,42.8247308453825
47200,42.8333527808862
47300,42.8776930030736
47400,42.8349105843984
47500,42.7876168097466
47600,42.7301782594545
47700,42.7134247067546
47800,42.7600794273806
47900,42.8233709658509
48000,42.8147159735231
48100,42.8451903987089
48200,42.8162536755762
48300,42.8697930660399
48400,42.9092400832532
48500,42.9270811354648
48600,42.9450794365007
48700,42.9346632015833
48800,42.8816468715838
48900,42.9328009089879
49000,42.900321749162
49100,42.8273918126047
49200,42.7998738020572
49300,42.696706881475
49400,42.6337062303506
49500,42.6625696554526
49600,42.6671628894411
49700,42.6391662342743
49800,42.5797219667039
49900,42.5321972697196
50000,42.4604768517147
50100,42.4471408990357
50200,42.4565711406403
50300,42.4312686178782
50400,42.4239213802596
50500,42.4590401745964
50600,42.4153757857611
50700,42.2953616924992
50800,42.29482699252
