ms,CN0_dBHz
100,46.6713112712933
200,47.2487546168784
300,46.7949440059605
400,46.3223098242749
500,46.459469919413
600,46.2544491757638
700,46.0750885095081
800,46.0724733834143
900,46.0448368271711
1000,46.0329456904676
1100,45.9708856153758
1200,45.9149139201284
1300,45.971303466652
1400,46.0029549544109
1500,45.9933379861566
1600,46.0388757964797
1700,46.0960740057967
1800,46.0956801815418
1900,46.2069159870105
2000,46.2099258476973
2100,46.2277772291335
2200,46.1694853582117
2300,46.1181482116141
2400,46.1994326805919
2500,46.1419302061742
2600,46.130710860148
2700,46.1620127180733
2800,46.1232959232076
2900,46.1070983569886
3000,46.080553793663
3100,46.1649432088072
3200,46.2016849783521
3300,46.1362306904667
3400,46.0768249132829
3500,46.1083657858338
3600,46.0789992642084
3700,45.983804248316
3800,45.9695433294915
3900,45.7775100272474
4000,45.7309491315549
4100,45.6479510671443
4200,45.6361076113733
4300,45.7044611673446
4400,45.6723543707488
4500,45.6027434224743
4600,45.5927185806391
4700,45.5728032278384
4800,45.553188638961
4900,45.5670136172195
5000,45.559200862257
5100,45.5777619416704
5200,45.5709664314682
5300,45.5700294637263
5400,45.6337731504309
5500,45.578636330384
5600,45.6178322384421
5700,45.7169413567874
5800,45.7298504811272
5900,45.7994480067195
6000,45.7874923763835
6100,45.8248339935497
6200,45.7871243406021
6300,45.7300926834831
6400,45.7177994086346
6500,45.7935301733662
6600,45.9054139219598
6700,45.9386816704604
6800,45.9816096131919
6900,46.0170304178049
7000,46.0864589298607
7100,46.0409264821741
7200,46.0256884694313
7300,46.0872158371185
7400,46.0442846807195
7500,46.0509440071335
7600,46.03026073381
7700,45.912704113184
7800,45.9057104804867
7900,45.9693592491379
8000,46.041379428116
8100,46.0143893323017
8200,46.0861110356785
8300,46.1007604571519
8400,46.1268066631154
8500,46.1941757532472
8600,46.1895957361401
8700,46.2344351691468
8800,46.2268305366192
8900,46.2492527675536
9000,46.2532069169701
9100,46.2706319686314
9200,46.3211523992292
9300,46.2858197381271
9400,46.3017478366162
9500,46.3494201915984
9600,46.292508776838
9700,46.3686467307541
9800,46.412869002915
9900,46.3911339779482
10000,46.325705391366
10100,46.234586259437
10200,46.2015072211675
10300,46.2345831780476
10400,46.2445718191411
10500,46.1907352346157
10600,46.1676391575877
10700,46.155830662315
10800,46.1817856853108
10900,46.1001831601249
11000,46.0597060998292
11100,46.0145955003714
11200,45.9886807015224
11300,45.9004527749457
11400,45.9124132864934
11500,45.8892982320688
11600,45.9405445850089
11700,45.9272099286813
11800,45.9223278829548
11900,45.9334688498036
12000,46.0252526342851
12100,46.1869308654114
12200,46.2622159876227
12300,46.2656240403677
12400,46.3022783989993
12500,46.3620256781664
12600,46.3902421722277
12700,46.418436933077
12800,46.4258814924481
12900,46.521295821253
13000,46.5820121034487
13100,46.6034487700557
13200,46.6522261122705
13300,46.8150623478633
13400,46.8642339033732
